log_id,scale,clip,derive,reduce,fourier,model,metric,accuracy,macro avg,weighted avg,1-Benz,2-Hex,3-Ethyl,4-Rose,5-Lem,6-Ger,7-Cit,8-Van
0,False,False,False,False,False,,,,,,,,,,,,,
1,False,False,False,False,False,random_forest,precision,0.6384180790960452,0.59743889489675,0.6521801867593761,0.8461538461538461,0.8181818181818182,0.7777777777777778,0.375,0.3846153846153846,0.5609756097560976,0.5882352941176471,0.4285714285714285
1,False,False,False,False,False,random_forest,recall,0.6384180790960452,0.640066120492084,0.6384180790960452,0.7333333333333333,0.8181818181818182,0.8235294117647058,0.25,0.4166666666666667,0.7931034482758621,0.2857142857142857,1.0
1,False,False,False,False,False,random_forest,f1-score,0.6384180790960452,0.5932067932067933,0.6242379089836717,0.7857142857142856,0.8181818181818182,0.7999999999999999,0.3,0.4,0.6571428571428573,0.3846153846153846,0.6
1,False,False,False,False,False,random_forest,support,0.6384180790960452,177.0,177.0,30.0,33.0,17.0,12.0,12.0,29.0,35.0,9.0
2,False,False,True,False,False,<function random_forest at 0x7f3014e80790>,precision,0.7355769230769231,0.7331712558275059,0.7656207974717589,0.6666666666666666,0.8461538461538461,0.7307692307692307,0.7272727272727273,0.71875,0.8666666666666667,0.4,0.9090909090909092
2,False,False,True,False,False,<function random_forest at 0x7f3014e80790>,recall,0.7355769230769231,0.7634026071526071,0.7355769230769231,0.6666666666666666,0.5945945945945946,1.0,0.6666666666666666,0.6388888888888888,0.7222222222222222,0.9090909090909092,0.9090909090909092
2,False,False,True,False,False,<function random_forest at 0x7f3014e80790>,f1-score,0.7355769230769231,0.7292714780246748,0.7383416491153064,0.6666666666666666,0.6984126984126985,0.8444444444444443,0.6956521739130435,0.676470588235294,0.7878787878787877,0.5555555555555556,0.9090909090909092
2,False,False,True,False,False,<function random_forest at 0x7f3014e80790>,support,0.7355769230769231,208.0,208.0,18.0,37.0,19.0,36.0,36.0,18.0,11.0,33.0
3,False,False,False,False,False,<function random_forest at 0x7f3014e80790>,precision,0.7355769230769231,0.7331712558275059,0.7656207974717589,0.6666666666666666,0.8461538461538461,0.7307692307692307,0.7272727272727273,0.71875,0.8666666666666667,0.4,0.9090909090909092
3,False,False,False,False,False,<function random_forest at 0x7f3014e80790>,recall,0.7355769230769231,0.7634026071526071,0.7355769230769231,0.6666666666666666,0.5945945945945946,1.0,0.6666666666666666,0.6388888888888888,0.7222222222222222,0.9090909090909092,0.9090909090909092
3,False,False,False,False,False,<function random_forest at 0x7f3014e80790>,f1-score,0.7355769230769231,0.7292714780246748,0.7383416491153064,0.6666666666666666,0.6984126984126985,0.8444444444444443,0.6956521739130435,0.676470588235294,0.7878787878787877,0.5555555555555556,0.9090909090909092
